_id,AfterCount,AfterCountStr,AverageScore,GoodRate,CommentCount,cn,product_category,product_detail,product_detail_url,product_id,product_price,product_shop_name,product_shop_url,type
6291116 ,614,600+,5,0.98,212487,jd,口红,"京东超市	
卡姿兰（Carslan）轻甜唇爱随心盒（口红套盒礼盒 雾感哑光唇膏 持久保湿 生日礼物送礼）1.4g*4
								【卡姿兰新妆登场】不落樱十色眼影盘，打造夏日清甜少女妆，暖阳橘棕，百搭日常不出错，低至满199减100元，点击领券享受叠加优惠",//item.jd.com/6291116.html,6291116,￥99.00,卡姿兰京东自营官方旗舰店,//mall.jd.com/index-1000002523.html?from=pc,美妆
6353735 ,213,200+,5,0.97,3348,jd,空调,美的（Midea）小4匹一拖二 全直流变频 智能家用中央空调 十年包修 风管小多联机厨房空调 MDS-H80W(E1),//item.jd.com/6353735.html,6353735,"￥14,980.00",美的（Midea）中央空调京东自营旗舰店,//mall.jd.com/index-1000313407.html?from=pc,家电
6379108 ,57,50+,5,0.98,10386,jd,钱包,"新秀丽（Samsonite）Y-CITIZEN 男士竖款钱夹商务休闲短款皮夹多功能牛皮钱包TK6*09002 黑色
								新秀丽（Samsonite）Y-CITIZEN 男士竖款钱夹商务休闲短款皮夹多功能牛皮钱包TK6*09002 黑色",//item.jd.com/6379108.html,6379108,￥266.00,新秀丽男包京东自营旗舰店,//mall.jd.com/index-1000091126.html?from=pc,包
6379120 ,100,100+,5,0.98,18289,jd,钱包,"新秀丽（Samsonite）MERLE II 男士钥匙包多功能牛皮时尚钥匙扣钱包 TK7*09003 黑色/深蓝色
								新秀丽（Samsonite）MERLE II 男士钥匙包多功能牛皮时尚钥匙扣钱包 TK7*09003 黑色/深蓝色",//item.jd.com/6379120.html,6379120,￥169.00,新秀丽男包京东自营旗舰店,//mall.jd.com/index-1000091126.html?from=pc,包
6479354 ,111,100+,5,0.98,24178,jd,挎包,"迪德DiDe 单肩包男包复古风斜挎包休闲竖款背包 DQ820卡其色
								迪德DiDe 单肩包男包复古风斜挎包休闲竖款背包 DQ820卡其色",//item.jd.com/6479354.html,6479354,￥139.00,迪德京东自营旗舰店,//mall.jd.com/index-1000093630.html?from=pc,包
6511832 ,433,400+,5,0.99,87220,jd,电脑包,"七匹狼双肩包 背包男15.6英寸电脑包商务休闲通勤防泼水牛津布书包 黑色B0301872-201
								【七匹狼男包优选品质，520品牌闪购特卖】5月17日-5月19,满99减15,满199减30,满399减60点击查看！",//item.jd.com/6511832.html,6511832,￥119.00,七匹狼京东自营旗舰店,//mall.jd.com/index-1000001212.html?from=pc,包
6533301 ,7797,7700+,5,0.99,383208,jd,空调,"格力京逸（GREE）正1.5匹 E享舒适 智能睡眠 变频 快速冷暖 壁挂式卧室空调挂机KFR-35GW/NhDbB3
								【格力品牌盛典！】今日到手价2399元！超值爆款，快速冷暖！点击查看更多哦~",//item.jd.com/6533301.html,6533301,"￥2,399.00",格力京东自营旗舰店,//mall.jd.com/index-1000003445.html?from=pc,家电
6533315 ,5963,5900+,5,0.99,260898,jd,空调,"格力京逸（GREE）大1匹 E享舒适 智能睡眠 变频 快速冷暖 壁挂式卧室空调挂机KFR-26GW/NhDbB3
								【格力品牌盛典！】今日到手价2249元！超值爆款，快速冷暖！点击查看更多哦~",//item.jd.com/6533315.html,6533315,"￥2,249.00",格力京东自营旗舰店,//mall.jd.com/index-1000003445.html?from=pc,家电
6544898 ,3581,3500+,5,0.98,58413,jd,空调,"TCL 1.5匹 一级能效 变频冷暖 30秒速冷  智多宝 壁挂式空调挂机(KFRd-35GW/D-XQ21Bp(A1))
								【TCL柔风焕新季】到手价1899元！急速安装！
【3期免息】健康除菌智清洁！60度高温强冷!
【看直播享豪礼】一级变频！立即抢购！询客服领限量红包",//item.jd.com/6544898.html,6544898,"￥1,899.00",TCL空调京东自营旗舰店,//mall.jd.com/index-1000001335.html?from=pc,家电
6545435 ,3731,3700+,5,0.99,418117,jd,洗衣机,"小天鹅（LittleSwan）8公斤 波轮洗衣机全自动 健康免清洗 一键脱水 品质电机 TB80V20
								【全心全意小天鹅，42年专业洗护】爆款好评41万+，爆款波轮！同样价格买更好能效！强劲水流冲刷！先抢先得；3年包修！大品牌，有保证！更多推荐",//item.jd.com/6545435.html,6545435,￥899.00,小天鹅洗衣机京东自营旗舰店,//mall.jd.com/index-1000002505.html?from=pc,家电
